hours_studied,attendance_issues,internal_1,internal_2,final_score,performance
2,6,5,6,6,At-Risk
2,4,5,5,6,At-Risk
2,10,7,8,10,Pass
3,2,15,14,15,Exceeds Expectations
2,4,6,10,10,Pass
2,10,15,15,15,Exceeds Expectations
2,0,12,12,11,Pass
2,6,6,5,6,At-Risk
2,0,16,18,19,Exceeds Expectations
2,0,14,15,15,Exceeds Expectations
2,0,10,8,9,At-Risk
3,4,10,12,12,Pass
1,2,14,14,14,Pass
2,2,10,10,11,Pass
3,0,14,16,16,Exceeds Expectations
1,4,14,14,14,Pass
3,6,13,14,14,Pass
2,4,8,10,10,Pass
1,16,6,5,5,At-Risk
1,4,8,10,10,Pass
2,0,13,14,15,Exceeds Expectations
1,0,12,15,15,Exceeds Expectations
2,2,15,15,16,Exceeds Expectations
2,0,13,13,12,Pass
3,2,10,9,8,At-Risk
1,14,6,9,8,At-Risk
1,2,12,12,11,Pass
1,4,15,16,15,Exceeds Expectations
2,4,11,11,11,Pass
2,16,10,12,11,Pass
2,0,9,11,12,Pass
2,0,17,16,17,Exceeds Expectations
2,0,17,16,16,Exceeds Expectations
2,0,8,10,12,Pass
1,0,12,14,15,Exceeds Expectations
1,0,8,7,6,At-Risk
3,2,15,16,18,Exceeds Expectations
3,7,15,16,15,Exceeds Expectations
3,2,12,12,11,Pass
1,8,14,13,13,Pass
2,25,7,10,11,Pass
1,8,12,12,12,Pass
2,2,19,18,18,Exceeds Expectations
1,0,8,8,11,Pass
2,14,10,10,9,At-Risk
2,8,8,8,6,At-Risk
2,12,11,12,11,Pass
4,4,19,19,20,Exceeds Expectations
2,2,15,15,14,Pass
2,2,7,7,7,At-Risk
2,2,12,13,13,Pass
2,2,11,13,13,Pass
1,6,11,11,10,Pass
1,0,8,10,11,Pass
1,6,10,13,13,Pass
2,8,8,9,10,Pass
2,0,14,15,15,Exceeds Expectations
2,4,14,15,15,Exceeds Expectations
2,2,9,10,9,At-Risk
2,2,15,16,16,Exceeds Expectations
2,6,10,11,11,Pass
1,6,10,8,11,Pass
2,4,8,10,9,At-Risk
3,2,10,9,9,At-Risk
2,0,10,10,10,Pass
2,2,16,15,15,Exceeds Expectations
4,4,13,13,12,Pass
4,4,7,7,6,At-Risk
2,2,8,9,8,At-Risk
4,12,16,16,16,Exceeds Expectations
4,0,13,15,15,Exceeds Expectations
4,0,10,10,10,Pass
2,2,8,6,5,At-Risk
1,2,12,12,14,Pass
2,54,11,12,11,Pass
2,6,9,9,10,Pass
4,8,11,11,10,Pass
4,0,11,11,11,Pass
1,2,8,8,10,Pass
2,12,5,5,5,At-Risk
1,2,10,12,12,Pass
3,4,11,10,11,Pass
2,10,7,6,6,At-Risk
2,4,15,15,15,Exceeds Expectations
2,2,9,10,10,Pass
2,6,7,9,8,At-Risk
2,4,8,7,6,At-Risk
3,4,13,14,14,Pass
2,12,11,10,10,Pass
2,18,8,6,7,At-Risk
3,0,7,7,8,At-Risk
1,4,16,17,18,Exceeds Expectations
2,4,7,6,6,At-Risk
2,0,11,10,10,Pass
4,6,11,13,14,Pass
4,2,7,10,10,Pass
1,2,11,15,15,Exceeds Expectations
2,2,8,9,10,Pass
1,6,11,14,14,Pass
3,0,7,9,8,At-Risk
1,14,7,7,5,At-Risk
3,0,16,17,17,Exceeds Expectations
1,4,10,13,14,Pass
2,26,7,6,6,At-Risk
2,0,16,18,18,Exceeds Expectations
4,10,10,11,11,Pass
4,8,7,8,8,At-Risk
3,2,16,18,18,Exceeds Expectations
4,6,10,13,13,Pass
3,4,14,15,16,Exceeds Expectations
1,6,18,19,19,Exceeds Expectations
3,0,7,10,10,Pass
2,6,10,13,13,Pass
1,10,18,19,19,Exceeds Expectations
2,8,9,9,9,At-Risk
2,2,15,15,16,Exceeds Expectations
2,2,11,13,14,Pass
1,0,13,14,13,Pass
2,20,9,7,8,At-Risk
1,6,14,13,13,Pass
2,2,16,15,15,Exceeds Expectations
4,6,16,14,15,Exceeds Expectations
2,2,13,13,13,Pass
1,18,14,11,13,Pass
2,0,8,7,8,At-Risk
1,0,13,13,12,Pass
2,0,7,10,11,Pass
2,2,7,8,9,At-Risk
1,0,7,4,0,At-Risk
1,8,18,18,18,Exceeds Expectations
3,0,12,0,0,At-Risk
1,0,8,0,0,At-Risk
1,12,10,13,12,Pass
1,16,12,11,11,Pass
2,0,9,0,0,At-Risk
3,0,11,0,0,At-Risk
2,0,10,0,0,At-Risk
1,0,4,0,0,At-Risk
2,0,14,12,12,Pass
1,0,16,16,15,Exceeds Expectations
4,0,7,9,0,At-Risk
1,8,9,9,9,At-Risk
3,2,9,11,11,Pass
1,2,14,14,13,Pass
1,0,5,0,0,At-Risk
2,0,8,11,11,Pass
2,0,6,7,0,At-Risk
2,2,10,11,11,Pass
1,0,7,6,0,At-Risk
1,0,8,9,10,Pass
1,0,6,5,0,At-Risk
1,6,12,13,14,Pass
